"workerid","A","B","percent","read_and_decide_time","quant","read_time_one","response","qq","percent_cat","resp","rt_too_quick"
1,"""chulks""","""vulhor""",14,832,"Most",159,"true","Most","1-25",1,FALSE
1,"""shurry""","""preser""",59,656,"More than half",137,"false","More than half","51-60",0,FALSE
1,"""chadop""","""shaple""",8,1174,"Many",151,"false","Many","1-25",0,FALSE
1,"""bemble""","""squank""",32,1009,"Few",167,"true","Few","26-40",0,FALSE
1,"""jallem""","""sildal""",91,1080,"Few",119,"true","Few","76-100",0,FALSE
1,"""shamer""","""bloifs""",13,512,"Many",135,"false","Many","1-25",0,FALSE
1,"""pobbit""","""spippy""",1,1104,"Many",144,"false","Many","1-25",0,FALSE
1,"""awplor""","""fasees""",7,656,"Fewer than half",169,"false","Fewer than half","1-25",1,FALSE
1,"""puggle""","""entand""",33,672,"Most",160,"true","Most","26-40",1,FALSE
1,"""russer""","""huttle""",34,640,"More than half",136,"true","More than half","26-40",1,FALSE
1,"""hadder""","""ollidy""",11,744,"Many",175,"false","Many","1-25",0,FALSE
1,"""beckel""","""racual""",41,815,"Most",120,"false","Most","41-50",0,FALSE
1,"""coppar""","""hunene""",51,488,"Most",151,"true","Most","51-60",1,FALSE
1,"""spunge""","""wenple""",95,865,"More than half",135,"true","More than half","76-100",1,FALSE
1,"""spunge""","""wenple""",76,857,"Many",152,"true","Many","76-100",1,FALSE
1,"""menner""","""nandow""",12,776,"Fewer than half",120,"false","Fewer than half","1-25",1,FALSE
1,"""schook""","""jabant""",93,592,"Many",112,"true","Many","76-100",1,FALSE
1,"""ancits""","""smeath""",27,784,"Most",135,"false","Most","26-40",0,FALSE
1,"""isbant""","""unairs""",88,671,"Most",145,"true","Most","76-100",1,FALSE
1,"""pobbit""","""spippy""",27,736,"Few",120,"false","Few","26-40",1,FALSE
1,"""devole""","""sholly""",40,1328,"Few",144,"false","Few","26-40",1,FALSE
1,"""puctor""","""recure""",84,848,"Most",127,"true","Most","76-100",1,FALSE
