percent,qq,workerid,theta,resp,percent_cat
1,Few,1,2.22044604925031e-16,0,1-20
1,Few,1,2.22044604925031e-16,0,1-20
1,Few,1,2.22044604925031e-16,0,1-20
2,Few,1,2.22044604925031e-16,0,1-20
2,Few,1,2.22044604925031e-16,0,1-20
2,Few,1,2.22044604925031e-16,0,1-20
3,Few,1,2.22044604925031e-16,0,1-20
3,Few,1,2.22044604925031e-16,0,1-20
3,Few,1,2.22044604925031e-16,0,1-20
4,Few,1,2.22044604925031e-16,0,1-20
4,Few,1,2.22044604925031e-16,0,1-20
4,Few,1,2.22044604925031e-16,0,1-20
5,Few,1,2.22044604925031e-16,0,1-20
5,Few,1,2.22044604925031e-16,0,1-20
5,Few,1,2.22044604925031e-16,0,1-20
6,Few,1,2.22044604925031e-16,0,1-20
6,Few,1,2.22044604925031e-16,0,1-20
6,Few,1,2.22044604925031e-16,0,1-20
7,Few,1,2.22044604925031e-16,0,1-20
7,Few,1,2.22044604925031e-16,0,1-20
7,Few,1,2.22044604925031e-16,0,1-20
8,Few,1,2.22044604925031e-16,0,1-20
8,Few,1,2.22044604925031e-16,0,1-20
8,Few,1,2.22044604925031e-16,0,1-20
9,Few,1,2.22044604925031e-16,0,1-20
9,Few,1,2.22044604925031e-16,0,1-20
9,Few,1,2.22044604925031e-16,0,1-20
10,Few,1,2.22044604925031e-16,0,1-20
10,Few,1,2.22044604925031e-16,0,1-20
10,Few,1,2.22044604925031e-16,0,1-20
11,Few,1,2.22044604925031e-16,0,1-20
11,Few,1,2.22044604925031e-16,0,1-20
11,Few,1,2.22044604925031e-16,0,1-20
12,Few,1,2.22044604925031e-16,0,1-20
12,Few,1,2.22044604925031e-16,0,1-20
12,Few,1,2.22044604925031e-16,0,1-20
13,Few,1,2.22044604925031e-16,0,1-20
13,Few,1,2.22044604925031e-16,0,1-20
13,Few,1,2.22044604925031e-16,0,1-20
14,Few,1,2.22044604925031e-16,0,1-20
14,Few,1,2.22044604925031e-16,0,1-20
14,Few,1,2.22044604925031e-16,0,1-20
15,Few,1,2.22044604925031e-16,0,1-20
15,Few,1,2.22044604925031e-16,0,1-20
15,Few,1,2.22044604925031e-16,0,1-20
16,Few,1,2.22044604925031e-16,0,1-20
16,Few,1,2.22044604925031e-16,0,1-20
16,Few,1,2.22044604925031e-16,0,1-20
17,Few,1,2.22044604925031e-16,0,1-20
17,Few,1,2.22044604925031e-16,0,1-20
17,Few,1,2.22044604925031e-16,0,1-20
18,Few,1,2.22044604925031e-16,0,1-20
18,Few,1,2.22044604925031e-16,0,1-20
18,Few,1,2.22044604925031e-16,0,1-20
19,Few,1,2.22044604925031e-16,0,1-20
