percent,qq,workerid,theta,resp,percent_cat
1,Most,1,0.86712916762769,0,1-20
1,Most,1,0.86712916762769,1,1-20
1,Most,1,0.86712916762769,1,1-20
2,Most,1,0.857601243872185,1,1-20
2,Most,1,0.857601243872185,1,1-20
2,Most,1,0.857601243872185,0,1-20
3,Most,1,0.84751024017502,1,1-20
3,Most,1,0.84751024017502,1,1-20
3,Most,1,0.84751024017502,1,1-20
4,Most,1,0.836840190887933,1,1-20
4,Most,1,0.836840190887933,1,1-20
4,Most,1,0.836840190887933,1,1-20
5,Most,1,0.825577190749395,1,1-20
5,Most,1,0.825577190749395,0,1-20
5,Most,1,0.825577190749395,0,1-20
6,Most,1,0.813709778550925,1,1-20
6,Most,1,0.813709778550925,1,1-20
6,Most,1,0.813709778550925,1,1-20
7,Most,1,0.801229332299686,1,1-20
7,Most,1,0.801229332299686,1,1-20
7,Most,1,0.801229332299686,1,1-20
8,Most,1,0.788130468419163,1,1-20
8,Most,1,0.788130468419163,1,1-20
8,Most,1,0.788130468419163,1,1-20
9,Most,1,0.774411436092457,1,1-20
9,Most,1,0.774411436092457,0,1-20
9,Most,1,0.774411436092457,1,1-20
10,Most,1,0.760074496503207,1,1-20
10,Most,1,0.760074496503207,1,1-20
10,Most,1,0.760074496503207,1,1-20
11,Most,1,0.745126275557504,0,1-20
11,Most,1,0.745126275557504,1,1-20
11,Most,1,0.745126275557504,1,1-20
12,Most,1,0.729578077775559,1,1-20
12,Most,1,0.729578077775559,1,1-20
12,Most,1,0.729578077775559,1,1-20
13,Most,1,0.713446148527618,1,1-20
13,Most,1,0.713446148527618,0,1-20
13,Most,1,0.713446148527618,1,1-20
14,Most,1,0.696751871754132,0,1-20
14,Most,1,0.696751871754132,1,1-20
14,Most,1,0.696751871754132,1,1-20
15,Most,1,0.679521890842781,1,1-20
15,Most,1,0.679521890842781,1,1-20
15,Most,1,0.679521890842781,1,1-20
16,Most,1,0.661788141499089,1,1-20
16,Most,1,0.661788141499089,0,1-20
16,Most,1,0.661788141499089,0,1-20
17,Most,1,0.643587787275693,1,1-20
17,Most,1,0.643587787275693,0,1-20
17,Most,1,0.643587787275693,0,1-20
18,Most,1,0.624963050909045,1,1-20
18,Most,1,0.624963050909045,1,1-20
18,Most,1,0.624963050909045,1,1-20
19,Most,1,0.605960937695125,1,1-20
19,Most,1,0.605960937695125,0,1-20
19,Most,1,0.605960937695125,0,1-20
20,Most,1,0.586632850711103,1,1-20
20,Most,1,0.586632850711103,0,1-20
20,Most,1,0.586632850711103,1,1-20
21,Most,1,0.567034101602358,0,21-40
21,Most,1,0.567034101602358,1,21-40
21,Most,1,0.567034101602358,1,21-40
