percent,qq,workerid,theta,resp,percent_cat
1,MoreThanHalf,1,0.000377799711122343,0,1-20
1,MoreThanHalf,1,0.000377799711122343,0,1-20
1,MoreThanHalf,1,0.000377799711122343,0,1-20
2,MoreThanHalf,1,0.000435146415136197,0,1-20
2,MoreThanHalf,1,0.000435146415136197,0,1-20
2,MoreThanHalf,1,0.000435146415136197,0,1-20
3,MoreThanHalf,1,0.000501193484699214,0,1-20
3,MoreThanHalf,1,0.000501193484699214,0,1-20
3,MoreThanHalf,1,0.000501193484699214,0,1-20
4,MoreThanHalf,1,0.000577259472078911,0,1-20
4,MoreThanHalf,1,0.000577259472078911,0,1-20
4,MoreThanHalf,1,0.000577259472078911,0,1-20
5,MoreThanHalf,1,0.000664862292572833,0,1-20
5,MoreThanHalf,1,0.000664862292572833,0,1-20
5,MoreThanHalf,1,0.000664862292572833,0,1-20
6,MoreThanHalf,1,0.000765749215937364,0,1-20
6,MoreThanHalf,1,0.000765749215937364,0,1-20
6,MoreThanHalf,1,0.000765749215937364,0,1-20
7,MoreThanHalf,1,0.000881931319972287,0,1-20
7,MoreThanHalf,1,0.000881931319972287,0,1-20
7,MoreThanHalf,1,0.000881931319972287,0,1-20
8,MoreThanHalf,1,0.0010157230538899,0,1-20
8,MoreThanHalf,1,0.0010157230538899,0,1-20
8,MoreThanHalf,1,0.0010157230538899,0,1-20
9,MoreThanHalf,1,0.00116978764773508,0,1-20
9,MoreThanHalf,1,0.00116978764773508,0,1-20
9,MoreThanHalf,1,0.00116978764773508,0,1-20
10,MoreThanHalf,1,0.00134718920309393,0,1-20
10,MoreThanHalf,1,0.00134718920309393,0,1-20
10,MoreThanHalf,1,0.00134718920309393,0,1-20
11,MoreThanHalf,1,0.00155145241020533,0,1-20
11,MoreThanHalf,1,0.00155145241020533,0,1-20
11,MoreThanHalf,1,0.00155145241020533,0,1-20
12,MoreThanHalf,1,0.00178663095771697,0,1-20
12,MoreThanHalf,1,0.00178663095771697,0,1-20
12,MoreThanHalf,1,0.00178663095771697,0,1-20
13,MoreThanHalf,1,0.00205738583369418,0,1-20
13,MoreThanHalf,1,0.00205738583369418,0,1-20
13,MoreThanHalf,1,0.00205738583369418,0,1-20
14,MoreThanHalf,1,0.0023690748595499,0,1-20
14,MoreThanHalf,1,0.0023690748595499,0,1-20
14,MoreThanHalf,1,0.0023690748595499,0,1-20
15,MoreThanHalf,1,0.00272785495099772,0,1-20
15,MoreThanHalf,1,0.00272785495099772,0,1-20
15,MoreThanHalf,1,0.00272785495099772,0,1-20
16,MoreThanHalf,1,0.00314079875951993,0,1-20
16,MoreThanHalf,1,0.00314079875951993,0,1-20
16,MoreThanHalf,1,0.00314079875951993,0,1-20
17,MoreThanHalf,1,0.00361602751025517,0,1-20
17,MoreThanHalf,1,0.00361602751025517,0,1-20
17,MoreThanHalf,1,0.00361602751025517,0,1-20
18,MoreThanHalf,1,0.00416286201163341,0,1-20
18,MoreThanHalf,1,0.00416286201163341,0,1-20
18,MoreThanHalf,1,0.00416286201163341,0,1-20
19,MoreThanHalf,1,0.00479199395971596,0,1-20
19,MoreThanHalf,1,0.00479199395971596,0,1-20
19,MoreThanHalf,1,0.00479199395971596,0,1-20
20,MoreThanHalf,1,0.00551567978351297,0,1-20
20,MoreThanHalf,1,0.00551567978351297,0,1-20
20,MoreThanHalf,1,0.00551567978351297,0,1-20
21,MoreThanHalf,1,0.00634795935914725,0,21-40
21,MoreThanHalf,1,0.00634795935914725,0,21-40
21,MoreThanHalf,1,0.00634795935914725,0,21-40
22,MoreThanHalf,1,0.00730490193687209,0,21-40
22,MoreThanHalf,1,0.00730490193687209,0,21-40
22,MoreThanHalf,1,0.00730490193687209,0,21-40
23,MoreThanHalf,1,0.00840488154377764,0,21-40
23,MoreThanHalf,1,0.00840488154377764,0,21-40
23,MoreThanHalf,1,0.00840488154377764,0,21-40
24,MoreThanHalf,1,0.00966888390443513,0,21-40
24,MoreThanHalf,1,0.00966888390443513,0,21-40
24,MoreThanHalf,1,0.00966888390443513,0,21-40
25,MoreThanHalf,1,0.0111208465069044,0,21-40
25,MoreThanHalf,1,0.0111208465069044,0,21-40
25,MoreThanHalf,1,0.0111208465069044,0,21-40
26,MoreThanHalf,1,0.0127880327621525,0,21-40
26,MoreThanHalf,1,0.0127880327621525,0,21-40
26,MoreThanHalf,1,0.0127880327621525,0,21-40
27,MoreThanHalf,1,0.0147014401722809,1,21-40
27,MoreThanHalf,1,0.0147014401722809,0,21-40
27,MoreThanHalf,1,0.0147014401722809,0,21-40
28,MoreThanHalf,1,0.0168962409271746,0,21-40
28,MoreThanHalf,1,0.0168962409271746,0,21-40
28,MoreThanHalf,1,0.0168962409271746,0,21-40
29,MoreThanHalf,1,0.0194122512571651,0,21-40
29,MoreThanHalf,1,0.0194122512571651,0,21-40
29,MoreThanHalf,1,0.0194122512571651,0,21-40
30,MoreThanHalf,1,0.0222944230241555,0,21-40
