percent,qq,workerid,theta,resp,percent_cat
1,MoreThanHalf,1,0.842327809965936,1,1-20
1,MoreThanHalf,1,0.842327809965936,1,1-20
1,MoreThanHalf,1,0.842327809965936,1,1-20
2,MoreThanHalf,1,0.834460982371248,1,1-20
2,MoreThanHalf,1,0.834460982371248,1,1-20
2,MoreThanHalf,1,0.834460982371248,1,1-20
3,MoreThanHalf,1,0.826282598748204,1,1-20
3,MoreThanHalf,1,0.826282598748204,1,1-20
3,MoreThanHalf,1,0.826282598748204,1,1-20
4,MoreThanHalf,1,0.817788393241206,1,1-20
4,MoreThanHalf,1,0.817788393241206,1,1-20
4,MoreThanHalf,1,0.817788393241206,0,1-20
5,MoreThanHalf,1,0.80897486975145,0,1-20
5,MoreThanHalf,1,0.80897486975145,1,1-20
5,MoreThanHalf,1,0.80897486975145,1,1-20
6,MoreThanHalf,1,0.799839381034133,1,1-20
6,MoreThanHalf,1,0.799839381034133,1,1-20
6,MoreThanHalf,1,0.799839381034133,0,1-20
7,MoreThanHalf,1,0.790380207577253,0,1-20
7,MoreThanHalf,1,0.790380207577253,0,1-20
7,MoreThanHalf,1,0.790380207577253,1,1-20
8,MoreThanHalf,1,0.780596635265221,1,1-20
8,MoreThanHalf,1,0.780596635265221,1,1-20
8,MoreThanHalf,1,0.780596635265221,0,1-20
9,MoreThanHalf,1,0.770489030732693,1,1-20
9,MoreThanHalf,1,0.770489030732693,1,1-20
9,MoreThanHalf,1,0.770489030732693,1,1-20
10,MoreThanHalf,1,0.760058913227103,0,1-20
10,MoreThanHalf,1,0.760058913227103,1,1-20
10,MoreThanHalf,1,0.760058913227103,1,1-20
11,MoreThanHalf,1,0.749309021726154,1,1-20
11,MoreThanHalf,1,0.749309021726154,1,1-20
11,MoreThanHalf,1,0.749309021726154,0,1-20
12,MoreThanHalf,1,0.738243376003228,1,1-20
12,MoreThanHalf,1,0.738243376003228,1,1-20
12,MoreThanHalf,1,0.738243376003228,0,1-20
13,MoreThanHalf,1,0.726867330303283,0,1-20
13,MoreThanHalf,1,0.726867330303283,0,1-20
13,MoreThanHalf,1,0.726867330303283,1,1-20
14,MoreThanHalf,1,0.715187618288208,1,1-20
14,MoreThanHalf,1,0.715187618288208,1,1-20
14,MoreThanHalf,1,0.715187618288208,1,1-20
15,MoreThanHalf,1,0.703212387937301,1,1-20
15,MoreThanHalf,1,0.703212387937301,0,1-20
15,MoreThanHalf,1,0.703212387937301,0,1-20
16,MoreThanHalf,1,0.690951225148422,1,1-20
16,MoreThanHalf,1,0.690951225148422,1,1-20
16,MoreThanHalf,1,0.690951225148422,0,1-20
17,MoreThanHalf,1,0.678415164880472,0,1-20
17,MoreThanHalf,1,0.678415164880472,1,1-20
17,MoreThanHalf,1,0.678415164880472,1,1-20
18,MoreThanHalf,1,0.665616688809366,1,1-20
18,MoreThanHalf,1,0.665616688809366,1,1-20
18,MoreThanHalf,1,0.665616688809366,0,1-20
19,MoreThanHalf,1,0.652569708637381,1,1-20
19,MoreThanHalf,1,0.652569708637381,0,1-20
19,MoreThanHalf,1,0.652569708637381,1,1-20
20,MoreThanHalf,1,0.639289534398333,1,1-20
20,MoreThanHalf,1,0.639289534398333,0,1-20
20,MoreThanHalf,1,0.639289534398333,1,1-20
21,MoreThanHalf,1,0.625792827335508,0,21-40
21,MoreThanHalf,1,0.625792827335508,1,21-40
21,MoreThanHalf,1,0.625792827335508,1,21-40
22,MoreThanHalf,1,0.612097537191496,1,21-40
22,MoreThanHalf,1,0.612097537191496,1,21-40
22,MoreThanHalf,1,0.612097537191496,0,21-40
23,MoreThanHalf,1,0.598222824033122,1,21-40
23,MoreThanHalf,1,0.598222824033122,1,21-40
23,MoreThanHalf,1,0.598222824033122,1,21-40
24,MoreThanHalf,1,0.58418896503365,0,21-40
24,MoreThanHalf,1,0.58418896503365,1,21-40
24,MoreThanHalf,1,0.58418896503365,1,21-40
25,MoreThanHalf,1,0.570017246940202,1,21-40
25,MoreThanHalf,1,0.570017246940202,1,21-40
25,MoreThanHalf,1,0.570017246940202,1,21-40
26,MoreThanHalf,1,0.555729845257896,0,21-40
26,MoreThanHalf,1,0.555729845257896,1,21-40
26,MoreThanHalf,1,0.555729845257896,1,21-40
27,MoreThanHalf,1,0.541349691474142,1,21-40
27,MoreThanHalf,1,0.541349691474142,0,21-40
27,MoreThanHalf,1,0.541349691474142,1,21-40
28,MoreThanHalf,1,0.526900329917426,1,21-40
28,MoreThanHalf,1,0.526900329917426,0,21-40
28,MoreThanHalf,1,0.526900329917426,1,21-40
29,MoreThanHalf,1,0.512405766085428,1,21-40
29,MoreThanHalf,1,0.512405766085428,0,21-40
29,MoreThanHalf,1,0.512405766085428,1,21-40
30,MoreThanHalf,1,0.497890308479214,0,21-40
30,MoreThanHalf,1,0.497890308479214,1,21-40
30,MoreThanHalf,1,0.497890308479214,0,21-40
31,MoreThanHalf,1,0.48337840613618,0,21-40
31,MoreThanHalf,1,0.48337840613618,0,21-40
31,MoreThanHalf,1,0.48337840613618,1,21-40
32,MoreThanHalf,1,0.468894484158799,0,21-40
32,MoreThanHalf,1,0.468894484158799,0,21-40
32,MoreThanHalf,1,0.468894484158799,0,21-40
33,MoreThanHalf,1,0.454462779585114,0,21-40
33,MoreThanHalf,1,0.454462779585114,1,21-40
33,MoreThanHalf,1,0.454462779585114,1,21-40
34,MoreThanHalf,1,0.440107179938586,0,21-40
34,MoreThanHalf,1,0.440107179938586,0,21-40
34,MoreThanHalf,1,0.440107179938586,0,21-40
35,MoreThanHalf,1,0.425851066729582,1,21-40
35,MoreThanHalf,1,0.425851066729582,0,21-40
35,MoreThanHalf,1,0.425851066729582,0,21-40
36,MoreThanHalf,1,0.411717166060972,1,21-40
36,MoreThanHalf,1,0.411717166060972,0,21-40
36,MoreThanHalf,1,0.411717166060972,0,21-40
37,MoreThanHalf,1,0.397727408320329,1,21-40
37,MoreThanHalf,1,0.397727408320329,1,21-40
37,MoreThanHalf,1,0.397727408320329,0,21-40
38,MoreThanHalf,1,0.383902798727314,0,21-40
38,MoreThanHalf,1,0.383902798727314,1,21-40
38,MoreThanHalf,1,0.383902798727314,0,21-40
39,MoreThanHalf,1,0.370263300254569,0,21-40
39,MoreThanHalf,1,0.370263300254569,0,21-40
39,MoreThanHalf,1,0.370263300254569,0,21-40
40,MoreThanHalf,1,0.356827730162478,0,21-40
40,MoreThanHalf,1,0.356827730162478,0,21-40
40,MoreThanHalf,1,0.356827730162478,0,21-40
41,MoreThanHalf,1,0.343613671091837,0,41-60
41,MoreThanHalf,1,0.343613671091837,1,41-60
41,MoreThanHalf,1,0.343613671091837,0,41-60
42,MoreThanHalf,1,0.330637397353326,0,41-60
42,MoreThanHalf,1,0.330637397353326,0,41-60
42,MoreThanHalf,1,0.330637397353326,0,41-60
43,MoreThanHalf,1,0.317913816748004,0,41-60
43,MoreThanHalf,1,0.317913816748004,0,41-60
43,MoreThanHalf,1,0.317913816748004,1,41-60
44,MoreThanHalf,1,0.305456427957577,1,41-60
44,MoreThanHalf,1,0.305456427957577,0,41-60
44,MoreThanHalf,1,0.305456427957577,0,41-60
45,MoreThanHalf,1,0.29327729326485,0,41-60
45,MoreThanHalf,1,0.29327729326485,0,41-60
45,MoreThanHalf,1,0.29327729326485,0,41-60
46,MoreThanHalf,1,0.281387026110077,0,41-60
46,MoreThanHalf,1,0.281387026110077,1,41-60
46,MoreThanHalf,1,0.281387026110077,0,41-60
47,MoreThanHalf,1,0.269794792763325,0,41-60
47,MoreThanHalf,1,0.269794792763325,1,41-60
47,MoreThanHalf,1,0.269794792763325,0,41-60
48,MoreThanHalf,1,0.258508327200332,0,41-60
48,MoreThanHalf,1,0.258508327200332,1,41-60
48,MoreThanHalf,1,0.258508327200332,0,41-60
49,MoreThanHalf,1,0.247533958112018,0,41-60
49,MoreThanHalf,1,0.247533958112018,0,41-60
49,MoreThanHalf,1,0.247533958112018,1,41-60
50,MoreThanHalf,1,0.236876646856949,0,41-60
50,MoreThanHalf,1,0.236876646856949,1,41-60
50,MoreThanHalf,1,0.236876646856949,1,41-60
51,MoreThanHalf,1,0.226540035081355,0,41-60
51,MoreThanHalf,1,0.226540035081355,1,41-60
51,MoreThanHalf,1,0.226540035081355,1,41-60
52,MoreThanHalf,1,0.216526500681275,0,41-60
52,MoreThanHalf,1,0.216526500681275,0,41-60
52,MoreThanHalf,1,0.216526500681275,0,41-60
53,MoreThanHalf,1,0.206837220763899,1,41-60
53,MoreThanHalf,1,0.206837220763899,0,41-60
53,MoreThanHalf,1,0.206837220763899,1,41-60
54,MoreThanHalf,1,0.197472240276886,0,41-60
54,MoreThanHalf,1,0.197472240276886,0,41-60
54,MoreThanHalf,1,0.197472240276886,1,41-60
55,MoreThanHalf,1,0.188430545011943,0,41-60
55,MoreThanHalf,1,0.188430545011943,0,41-60
55,MoreThanHalf,1,0.188430545011943,1,41-60
56,MoreThanHalf,1,0.179710137748139,0,41-60
56,MoreThanHalf,1,0.179710137748139,0,41-60
56,MoreThanHalf,1,0.179710137748139,0,41-60
57,MoreThanHalf,1,0.171308116377356,0,41-60
57,MoreThanHalf,1,0.171308116377356,0,41-60
57,MoreThanHalf,1,0.171308116377356,1,41-60
58,MoreThanHalf,1,0.163220752944767,0,41-60
58,MoreThanHalf,1,0.163220752944767,1,41-60
58,MoreThanHalf,1,0.163220752944767,0,41-60
59,MoreThanHalf,1,0.155443572637479,0,41-60
59,MoreThanHalf,1,0.155443572637479,0,41-60
59,MoreThanHalf,1,0.155443572637479,0,41-60
60,MoreThanHalf,1,0.147971431860767,0,41-60
60,MoreThanHalf,1,0.147971431860767,0,41-60
60,MoreThanHalf,1,0.147971431860767,1,41-60
61,MoreThanHalf,1,0.140798594650469,0,61-80
61,MoreThanHalf,1,0.140798594650469,0,61-80
61,MoreThanHalf,1,0.140798594650469,0,61-80
62,MoreThanHalf,1,0.133918806779195,0,61-80
62,MoreThanHalf,1,0.133918806779195,0,61-80
62,MoreThanHalf,1,0.133918806779195,0,61-80
63,MoreThanHalf,1,0.127325367020573,0,61-80
63,MoreThanHalf,1,0.127325367020573,0,61-80
63,MoreThanHalf,1,0.127325367020573,0,61-80
64,MoreThanHalf,1,0.121011195137909,0,61-80
64,MoreThanHalf,1,0.121011195137909,0,61-80
64,MoreThanHalf,1,0.121011195137909,0,61-80
65,MoreThanHalf,1,0.114968896259681,0,61-80
65,MoreThanHalf,1,0.114968896259681,1,61-80
65,MoreThanHalf,1,0.114968896259681,0,61-80
66,MoreThanHalf,1,0.109190821393227,1,61-80
66,MoreThanHalf,1,0.109190821393227,0,61-80
66,MoreThanHalf,1,0.109190821393227,0,61-80
67,MoreThanHalf,1,0.103669123908881,0,61-80
67,MoreThanHalf,1,0.103669123908881,0,61-80
67,MoreThanHalf,1,0.103669123908881,0,61-80
68,MoreThanHalf,1,0.0983958118993035,0,61-80
68,MoreThanHalf,1,0.0983958118993035,0,61-80
68,MoreThanHalf,1,0.0983958118993035,0,61-80
69,MoreThanHalf,1,0.0933627963826553,0,61-80
69,MoreThanHalf,1,0.0933627963826553,0,61-80
69,MoreThanHalf,1,0.0933627963826553,0,61-80
70,MoreThanHalf,1,0.0885619353736088,0,61-80
70,MoreThanHalf,1,0.0885619353736088,0,61-80
70,MoreThanHalf,1,0.0885619353736088,0,61-80
71,MoreThanHalf,1,0.0839850738932537,0,61-80
71,MoreThanHalf,1,0.0839850738932537,0,61-80
71,MoreThanHalf,1,0.0839850738932537,0,61-80
72,MoreThanHalf,1,0.0796240800281677,1,61-80
72,MoreThanHalf,1,0.0796240800281677,0,61-80
72,MoreThanHalf,1,0.0796240800281677,0,61-80
73,MoreThanHalf,1,0.075470877180758,0,61-80
73,MoreThanHalf,1,0.075470877180758,0,61-80
73,MoreThanHalf,1,0.075470877180758,0,61-80
74,MoreThanHalf,1,0.0715174726780608,0,61-80
74,MoreThanHalf,1,0.0715174726780608,0,61-80
74,MoreThanHalf,1,0.0715174726780608,0,61-80
75,MoreThanHalf,1,0.0677559829251483,1,61-80
75,MoreThanHalf,1,0.0677559829251483,0,61-80
75,MoreThanHalf,1,0.0677559829251483,0,61-80
76,MoreThanHalf,1,0.0641786553027815,0,61-80
76,MoreThanHalf,1,0.0641786553027815,0,61-80
76,MoreThanHalf,1,0.0641786553027815,0,61-80
77,MoreThanHalf,1,0.0607778870176398,0,61-80
77,MoreThanHalf,1,0.0607778870176398,0,61-80
77,MoreThanHalf,1,0.0607778870176398,0,61-80
78,MoreThanHalf,1,0.0575462411179792,0,61-80
78,MoreThanHalf,1,0.0575462411179792,0,61-80
78,MoreThanHalf,1,0.0575462411179792,0,61-80
79,MoreThanHalf,1,0.054476459888543,0,61-80
79,MoreThanHalf,1,0.054476459888543,0,61-80
79,MoreThanHalf,1,0.054476459888543,0,61-80
80,MoreThanHalf,1,0.0515614758365442,0,61-80
80,MoreThanHalf,1,0.0515614758365442,0,61-80
80,MoreThanHalf,1,0.0515614758365442,0,61-80
81,MoreThanHalf,1,0.0487944204760785,0,81-100
81,MoreThanHalf,1,0.0487944204760785,0,81-100
81,MoreThanHalf,1,0.0487944204760785,0,81-100
82,MoreThanHalf,1,0.0461686311119007,0,81-100
82,MoreThanHalf,1,0.0461686311119007,0,81-100
82,MoreThanHalf,1,0.0461686311119007,0,81-100
83,MoreThanHalf,1,0.0436776558155313,0,81-100
83,MoreThanHalf,1,0.0436776558155313,0,81-100
83,MoreThanHalf,1,0.0436776558155313,0,81-100
84,MoreThanHalf,1,0.0413152567775338,0,81-100
84,MoreThanHalf,1,0.0413152567775338,0,81-100
84,MoreThanHalf,1,0.0413152567775338,0,81-100
85,MoreThanHalf,1,0.0390754122098494,0,81-100
85,MoreThanHalf,1,0.0390754122098494,0,81-100
85,MoreThanHalf,1,0.0390754122098494,0,81-100
86,MoreThanHalf,1,0.0369523169615878,0,81-100
86,MoreThanHalf,1,0.0369523169615878,0,81-100
86,MoreThanHalf,1,0.0369523169615878,0,81-100
87,MoreThanHalf,1,0.0349403820008789,0,81-100
87,MoreThanHalf,1,0.0349403820008789,0,81-100
87,MoreThanHalf,1,0.0349403820008789,0,81-100
88,MoreThanHalf,1,0.033034232904514,0,81-100
88,MoreThanHalf,1,0.033034232904514,0,81-100
88,MoreThanHalf,1,0.033034232904514,0,81-100
89,MoreThanHalf,1,0.0312287074862959,0,81-100
89,MoreThanHalf,1,0.0312287074862959,0,81-100
89,MoreThanHalf,1,0.0312287074862959,0,81-100
90,MoreThanHalf,1,0.0295188526844243,0,81-100
90,MoreThanHalf,1,0.0295188526844243,0,81-100
90,MoreThanHalf,1,0.0295188526844243,0,81-100
91,MoreThanHalf,1,0.0278999208179684,0,81-100
91,MoreThanHalf,1,0.0278999208179684,0,81-100
91,MoreThanHalf,1,0.0278999208179684,0,81-100
92,MoreThanHalf,1,0.026367365312602,0,81-100
92,MoreThanHalf,1,0.026367365312602,0,81-100
92,MoreThanHalf,1,0.026367365312602,0,81-100
93,MoreThanHalf,1,0.0249168359863701,0,81-100
93,MoreThanHalf,1,0.0249168359863701,0,81-100
93,MoreThanHalf,1,0.0249168359863701,0,81-100
94,MoreThanHalf,1,0.0235441739773436,0,81-100
94,MoreThanHalf,1,0.0235441739773436,0,81-100
94,MoreThanHalf,1,0.0235441739773436,0,81-100
95,MoreThanHalf,1,0.0222454063866503,0,81-100
95,MoreThanHalf,1,0.0222454063866503,0,81-100
95,MoreThanHalf,1,0.0222454063866503,0,81-100
96,MoreThanHalf,1,0.0210167407025409,0,81-100
96,MoreThanHalf,1,0.0210167407025409,0,81-100
96,MoreThanHalf,1,0.0210167407025409,0,81-100
97,MoreThanHalf,1,0.0198545590638708,0,81-100
97,MoreThanHalf,1,0.0198545590638708,0,81-100
97,MoreThanHalf,1,0.0198545590638708,0,81-100
98,MoreThanHalf,1,0.018755412414648,0,81-100
98,MoreThanHalf,1,0.018755412414648,0,81-100
98,MoreThanHalf,1,0.018755412414648,0,81-100
99,MoreThanHalf,1,0.0177160145950938,0,81-100
99,MoreThanHalf,1,0.0177160145950938,0,81-100
99,MoreThanHalf,1,0.0177160145950938,0,81-100
100,MoreThanHalf,1,0.0167332364089842,0,81-100
100,MoreThanHalf,1,0.0167332364089842,0,81-100
100,MoreThanHalf,1,0.0167332364089842,0,81-100
1,MoreThanHalf,2,0.0228614845931156,0,1-20
1,MoreThanHalf,2,0.0228614845931156,0,1-20
1,MoreThanHalf,2,0.0228614845931156,0,1-20
2,MoreThanHalf,2,0.0250095052719729,0,1-20
2,MoreThanHalf,2,0.0250095052719729,0,1-20
2,MoreThanHalf,2,0.0250095052719729,0,1-20
3,MoreThanHalf,2,0.027353700009136,0,1-20
3,MoreThanHalf,2,0.027353700009136,0,1-20
3,MoreThanHalf,2,0.027353700009136,0,1-20
4,MoreThanHalf,2,0.0299108803680694,0,1-20
